Pincode,Districtname
244712,UDHAM SINGH NAGAR
244712,NAINITAL
244713,UDHAM SINGH NAGAR
244713,NAINITAL
244715,ALMORA
244715,NAINITAL
244715,UDHAM SINGH NAGAR
244716,UDHAM SINGH NAGAR
244716,NAINITAL
244717,UDHAM SINGH NAGAR
246001,PAURI GARHWAL
246113,PAURI GARHWAL
246121,PAURI GARHWAL
246123,PAURI GARHWAL
246124,PAURI GARHWAL
246125,PAURI GARHWAL
246127,PAURI GARHWAL
246128,PAURI GARHWAL
246129,PAURI GARHWAL
246130,PAURI GARHWAL
246131,PAURI GARHWAL
246141,RUDRAPRAYAG
246142,PAURI GARHWAL
246144,PAURI GARHWAL
246146,PAURI GARHWAL
246147,PAURI GARHWAL
246148,PAURI GARHWAL
246149,PAURI GARHWAL
246155,PAURI GARHWAL
246159,PAURI GARHWAL
246161,PAURI GARHWAL
246162,PAURI GARHWAL
246163,PAURI GARHWAL
246164,PAURI GARHWAL
246165,PAURI GARHWAL
246166,PAURI GARHWAL
246167,PAURI GARHWAL
246169,PAURI GARHWAL
246171,RUDRAPRAYAG
246172,PAURI GARHWAL
246173,PAURI GARHWAL
246174,PAURI GARHWAL
246175,PAURI GARHWAL
246176,PAURI GARHWAL
246177,PAURI GARHWAL
246179,PAURI GARHWAL
246193,PAURI GARHWAL
246194,PAURI GARHWAL
246275,PAURI GARHWAL
246276,PAURI GARHWAL
246277,PAURI GARHWAL
246278,PAURI GARHWAL
246279,PAURI GARHWAL
246285,PAURI GARHWAL
246401,CHAMOLI
246419,RUDRAPRAYAG
246421,RUDRAPRAYAG
246422,CHAMOLI
246424,CHAMOLI
246425,RUDRAPRAYAG
246426,CHAMOLI
246427,CHAMOLI
246428,CHAMOLI
246429,RUDRAPRAYAG
246429,CHAMOLI
246431,CHAMOLI
246435,CHAMOLI
246439,RUDRAPRAYAG
246440,CHAMOLI
246441,CHAMOLI
246442,RUDRAPRAYAG
246442,CHAMOLI
246443,CHAMOLI
246444,CHAMOLI
246445,RUDRAPRAYAG
246446,CHAMOLI
246448,RUDRAPRAYAG
246449,CHAMOLI
246453,CHAMOLI
246455,CHAMOLI
246469,RUDRAPRAYAG
246471,RUDRAPRAYAG
246472,CHAMOLI
246473,CHAMOLI
246474,CHAMOLI
246475,RUDRAPRAYAG
246481,CHAMOLI
246482,CHAMOLI
246483,CHAMOLI
246486,CHAMOLI
246487,CHAMOLI
246488,CHAMOLI
246495,RUDRAPRAYAG
246763,HARIDWAR
247656,HARIDWAR
247661,HARIDWAR
247662,HARIDWAR
247663,HARIDWAR
247664,HARIDWAR
247665,HARIDWAR
247666,HARIDWAR
247667,HARIDWAR
247668,HARIDWAR
247670,HARIDWAR
247671,HARIDWAR
248001,DEHRADUN
248002,DEHRADUN
248003,DEHRADUN
248005,DEHRADUN
248006,DEHRADUN
248007,DEHRADUN
248008,DEHRADUN
248009,DEHRADUN
248011,DEHRADUN
248012,DEHRADUN
248013,DEHRADUN
248014,DEHRADUN
248015,DEHRADUN
248016,DEHRADUN
248121,DEHRADUN
248122,DEHRADUN
248123,DEHRADUN
248124,DEHRADUN
248125,DEHRADUN
248140,DEHRADUN
248142,DEHRADUN
248143,DEHRADUN
248145,DEHRADUN
248146,DEHRADUN
248158,DEHRADUN
248158,ALMORA
248159,DEHRADUN
248165,DEHRADUN
248171,DEHRADUN
248179,DEHRADUN
248195,DEHRADUN
248196,DEHRADUN
248197,DEHRADUN
248198,DEHRADUN
248199,DEHRADUN
249001,TEHRI GARHWAL
249121,TEHRI GARHWAL
249122,TEHRI GARHWAL
249122,UTTARKASHI
249123,TEHRI GARHWAL
249124,TEHRI GARHWAL
249125,TEHRI GARHWAL
249126,TEHRI GARHWAL
249126,UTTARKASHI
249127,TEHRI GARHWAL
249128,UTTARKASHI
249128,TEHRI GARHWAL
249130,TEHRI GARHWAL
249131,TEHRI GARHWAL
249132,TEHRI GARHWAL
249135,UTTARKASHI
249135,TEHRI GARHWAL
249137,TEHRI GARHWAL
249141,UTTARKASHI
249141,TEHRI GARHWAL
249145,TEHRI GARHWAL
249146,TEHRI GARHWAL
249146,UTTARKASHI
249151,UTTARKASHI
249151,TEHRI GARHWAL
249152,UTTARKASHI
249155,TEHRI GARHWAL
249161,TEHRI GARHWAL
249165,TEHRI GARHWAL
249165,UTTARKASHI
249171,TEHRI GARHWAL
249171,UTTARKASHI
249175,TEHRI GARHWAL
249180,TEHRI GARHWAL
249181,TEHRI GARHWAL
249185,UTTARKASHI
249186,TEHRI GARHWAL
249192,TEHRI GARHWAL
249192,UTTARKASHI
249193,UTTARKASHI
249193,TEHRI GARHWAL
249194,UTTARKASHI
249195,UTTARKASHI
249196,UTTARKASHI
249196,TEHRI GARHWAL
249199,TEHRI GARHWAL
249201,DEHRADUN
249202,DEHRADUN
249203,DEHRADUN
249204,DEHRADUN
249205,DEHRADUN
249301,PAURI GARHWAL
249302,PAURI GARHWAL
249304,PAURI GARHWAL
249306,PAURI GARHWAL
249401,HARIDWAR
249402,HARIDWAR
249403,HARIDWAR
249404,HARIDWAR
249405,HARIDWAR
249407,HARIDWAR
249408,HARIDWAR
249410,HARIDWAR
249411,HARIDWAR
251201,HARIDWAR
251327,HARIDWAR
262308,UDHAM SINGH NAGAR
262308,NAINITAL
262309,CHAMPAWAT
262310,CHAMPAWAT
262310,NAINITAL
262311,UDHAM SINGH NAGAR
262401,UDHAM SINGH NAGAR
262401,NAINITAL
262402,NAINITAL
262405,UDHAM SINGH NAGAR
262405,NAINITAL
262501,PITHORAGARH
262502,PITHORAGARH
262520,PITHORAGARH
262521,PITHORAGARH
262522,PITHORAGARH
262523,CHAMPAWAT
262523,PITHORAGARH
262524,CHAMPAWAT
262525,CHAMPAWAT
262525,PITHORAGARH
262526,PITHORAGARH
262527,CHAMPAWAT
262528,CHAMPAWAT
262529,PITHORAGARH
262529,CHAMPAWAT
262530,PITHORAGARH
262531,PITHORAGARH
262532,PITHORAGARH
262533,PITHORAGARH
262534,PITHORAGARH
262540,PITHORAGARH
262541,PITHORAGARH
262542,PITHORAGARH
262543,PITHORAGARH
262544,PITHORAGARH
262545,PITHORAGARH
262545,CHAMPAWAT
262546,PITHORAGARH
262547,PITHORAGARH
262550,PITHORAGARH
262551,PITHORAGARH
262552,PITHORAGARH
262553,PITHORAGARH
262553,CHAMPAWAT
262554,PITHORAGARH
262555,PITHORAGARH
262561,CHAMPAWAT
262561,PITHORAGARH
262572,PITHORAGARH
262576,PITHORAGARH
262580,CHAMPAWAT
262580,PITHORAGARH
263001,NAINITAL
263126,NAINITAL
263127,NAINITAL
263128,NAINITAL
263132,NAINITAL
263134,NAINITAL
263135,NAINITAL
263136,NAINITAL
263137,NAINITAL
263138,NAINITAL
263139,NAINITAL
263140,NAINITAL
263145,UDHAM SINGH NAGAR
263148,UDHAM SINGH NAGAR
263149,UDHAM SINGH NAGAR
263150,UDHAM SINGH NAGAR
263151,UDHAM SINGH NAGAR
263152,UDHAM SINGH NAGAR
263153,UDHAM SINGH NAGAR
263156,NAINITAL
263157,NAINITAL
263158,NAINITAL
263159,NAINITAL
263160,UDHAM SINGH NAGAR
263601,ALMORA
263601,BAGESHWAR
263619,BAGESHWAR
263619,ALMORA
263620,BAGESHWAR
263621,ALMORA
263622,ALMORA
263623,ALMORA
263624,ALMORA
263624,BAGESHWAR
263625,ALMORA
263626,ALMORA
263628,BAGESHWAR
263628,ALMORA
263629,ALMORA
263630,BAGESHWAR
263631,BAGESHWAR
263632,BAGESHWAR
263633,BAGESHWAR
263634,BAGESHWAR
263635,BAGESHWAR
263636,ALMORA
263637,ALMORA
263638,ALMORA
263639,BAGESHWAR
263639,ALMORA
263640,BAGESHWAR
263641,BAGESHWAR
263642,BAGESHWAR
263643,ALMORA
263645,ALMORA
263646,ALMORA
263651,ALMORA
263652,ALMORA
263652,BAGESHWAR
263653,ALMORA
263655,ALMORA
263656,ALMORA
263658,ALMORA
263659,ALMORA
263660,ALMORA
263661,ALMORA
263663,ALMORA
263664,ALMORA
263665,ALMORA
263667,ALMORA
263676,ALMORA
263678,ALMORA
263679,BAGESHWAR
263680,ALMORA
